topic_id,rawg_tags,full_game_tags
Papers_Please,2d|atmospheric|difficult|dystopian|great soundtrack|historical-fiction|multiple endings|pixel graphics|point and click|political|replay value|retro|singleplayer|stats|steam achievements|steam cloud|steam leaderboards|steam-trading-cards|story rich|surreal|war|work,1980s|8-bit|developed by one person|dystopian|espionage|game developers choice awards 2014|igf awards|indie|life simulation|management|moral decisions|nudity|pixel art|point-and-click|puzzle|simulator|steam|steam achievements|steam cloud|steam greenlight|steam leaderboards|steam trading cards|story driven|thriller
ARC_Raiders,atmospheric|character customization|co-op|combat|free to play|multiplayer|physics|post-apocalyptic|pve|realistic|sci-fi|third person shooter,action|ai-generated voices|crafting|dystopian future|extraction|extraction shooter|italy|loot gathering|physics|post-apocalyptic|proximity voice chat|pvpve|realism|resource gathering|robots|science fiction|shooter|skill tree|underground
Vaudeville,ai|artificial intelligence|atmospheric|choices matter|comic book|conversation|crime|dark|detective|dynamic narration|early access|experimental|exploration|first-person|interactive fiction|investigation|mystery|noir|procedural generation|singleplayer|story rich|supernatural|surreal|unity,adventure|crime|detective|drama|indie|mystery|noir|open world|puzzle|sandbox|simulator|visual novel
Propnight,3d|asynchronous multiplayer|co-op|combat|first-person|horror|multiplayer|online co-op|online pvp|pvp|steam cloud|stylized|survival horror|third person,action|adventure|asymmetrical survival horror|horror|rpg|stealth|strategy|survival
Alien_Isolation,aliens|atmospheric|difficult|female protagonist|first-person|fps|full controller support|gore|great soundtrack|horror|sci-fi|singleplayer|space|stealth|steam achievements|steam cloud|survival|survival horror|vr mod,3d|action|adventure|alien|aliens|based on - movie|cosmic horror|female protagonist|first person horror|flame thrower|flashlight|hiding|horror|robot|robots|running|science fiction|space|stealth|survival|survival horror|thriller
I_Am_Part-time_Worker!!,3d|3d platformer|action-adventure|comedy|controller|family sharing|first-person|full controller support|funny|life sim|realistic|singleplayer|story rich,action|indie|simulator|steam families
Tavern_Master,3d|atmospheric|beer|building|city builder|crafting|dungeons & dragons|historical|inn|management|master|medieval|relaxing|resource management|singleplayer|steam cloud|stylized|tavern|time management|top-down|unity,building|historical|indie|medieval|sandbox|simulator|strategy
TroubleDays,anime|fps|hentai|nudity|sexual content|singleplayer|steam achievements|visual novel,adventure|eroge|erotic|fantasy|indie|nudity|sexual content|visual novel
Wizardry,console|evolution|fantasy|japan,adventure|fantasy|japanese games based on western ips|party-based combat|rpg|sequel by a different developer|turn-based
BUTTON_PRISON,action-adventure|comedy|controller|exploration|family sharing|full controller support|funny|hidden object|horror|physics|singleplayer|steam achievements|survival horror|thriller,horror|indie
Crab_Game,3d|3d platformer|battle royale|battle-royale|co-op|combat|first-person|fps|free to play|horror|multi-player-3d|multiplayer|nudity|online co-op|online pvp|parkour|physics|psychological-terror|pvp|runner|sci-fi,action|arcade|fighting|indie|racing|strategy
"Good_Pizza,_Great_Pizza",early access|management|singleplayer|steam achievements,arcade|business|cooking|indie|pizza|restaurant|restaurant management|simulator
Ghosts_'n_Goblins,console|demons|ghosts|monsters|nes,action|adventure|arcade|fantasy|ghosts|goblins|platform|shooter
Labyrinthine,action-adventure|atmospheric|character customization|co-op|co-op campaign|controller|first-person|full controller support|horror|lovecraftian|multiplayer|online co-op|procedural generation|pve|realistic|remote play on tv|singleplayer|stats|steam achievements|steam cloud|steam trading cards|supernatural|team-based|tracked controller support|vr supported,action|adventure|gore|horror|indie|lovecraftian|puzzle|team-based|vr experience
Thank_Goodness_You're_Here!,2d|2d platformer|2d-платформер|adventure-games|cartoon|cartoony|cinematic|colorful|comedy|exploration|family sharing|full controller support|funny|hand-drawn|indie|open world|platformers|puzzle platformer|puzzles|short|side scroller|singleplayer|steam achievements,2d|2d platformer|adult humor|adventure|alcohol|animated cutscenes|bird|british accent|bug|cartoon graphics|cartoony|casual|cinematic|colorful|comedy|controller recommendation|controller support|cow|exploration|fish|flower picking|flowers|hand-drawn|indie|platform|puzzle|puzzle platformer|seagull|short|sidescroller|steam achievements|surreal|tobacco|walking simulator|xbox controller support for pc
A_Little_to_the_Left,2d|cats|colorful|cozy|cute|family friendly|free to play|full controller support|funny|game makers toolkit jam|hand-drawn|hidden object|linear|logic|multiplayer|pixel graphics|relaxing|singleplayer|steam achievements|steam cloud|wholesome|котики,casual|cats|comedy|funny|indie|kids|logic puzzle|puzzle|relaxing
Parasocial,3d|atmospheric|first-person|horror|low-poly|short|singleplayer|spooky|unity,action|horror|indie|psychological horror|simulator
Clock_Tower,1-bit|2d|pixel graphics|short|unity,action|adventure|horror|point-and-click|puzzle|rpg
SIGNALIS,anime|female protagonist|full controller support|horror|mystery|pixel graphics|retro|sci-fi|singleplayer|survival horror|violent,action|adventure|alternative history|cosmic horror|dystopian|emotional|female protagonist|fixed camera|horror|indie|inventory management|memory|mystery|pixel art|psychological horror|science fiction|survival|survival horror
Idol_Showdown,1990s|2d|2d fighter|2d-файтинг|anime|combat|fantasy|free to play|multiplayer|old school|online pvp|partial controller support|pixel graphics|pvp|shared/split screen pvp|singleplayer|split screen|steam cloud,1990's|action|anime|arcade|combat|fangame|fanmade|fantasy|fighting|hololive|indie|old school|pixel graphics|pvp|unofficial|vtuber
Idol_Manager,anime|dark comedy|economy|management|moddable|point and click|replay value|sexual content|singleplayer|villain protagonist|violent|visual novel,business|comedy|idol simulation|indie|music|simulator|visual novel
Family_Feud,fast|fun|multiplayer|music|online|solo|text,based on - tv show|quiz/trivia
Dark_Souls,dark|death|duel|exploration|multiplayer,achievements|action|action-adventure|adventure|anthropomorphism|apocalypse|auto-saving|blacksmith|boss assistance|boss fight|bow and arrow|branching storyline|british accent|brutal|checkpoints|context sensitive|controller recommendation|customizable characters|dark second act|death|difficult|digital distribution|entering world in a painting|exploration|fantasy|fire manipulation|flight|gamersgate|games for windows - live|games on demand|games with gold|gamescom 2011|gamescom 2012|ghosts|hidden room|human|insanity|interconnected-world|knights|magic|medieval|melee|meme origin|mercenary|minotaurs|monsters|monsters that look suspiciously like genitalia|moral decisions|multiple enemy boss fights|new game plus|non-player character|old-fashioned english|online|parrying|player vs player|playstation trophies|polygonal 3d|pyromancer|ragdoll physics|real-time combat|reptilian humanoid|rpg|saving the world|secret achievements|side quests|skull for a head|sliding down ladders|soul steal|souls as currency|soulslike|spiritual successor|swarming enemies|sword & sorcery|tokyo game show 2010|tokyo game show 2012|tomb raiding|traps|undead|upgradeable weapons|violence|wasd movement|wizards|xbox one backwards compatibility
Mad_Father,2d|anime|atmospheric|classic|cute|dark|female protagonist|gothic|great soundtrack|horror|multiple endings|partial controller support|pixel graphics|rpg maker|rpgmaker|singleplayer|steam achievements|steam-trading-cards|story rich|survival horror,historical|horror|indie|puzzle|rpg
Sandtrix,2d|family friendly|full controller support|logic|physics|pixel graphics|retro|sandbox|score attack|singleplayer,arcade|indie|puzzle|tetris|tetris clone
Doomsday:_Last_Survivors,2d|4x|apocalypse|base building|battle|co-op|competition|construct|cross-platform multiplayer|defense|elements|enemies|explore|fight|futuristic|hero|in-app purchases|invasion|mmo|multiplayer|online co-op|online pvp|pvp|real time tactics|rpg|story rich|strategy rpg|survival|survive|tower|train|violent|wargame|zombies,free to play|real time strategy|rpg|strategy|survival
Cassette_Beasts,3d|anime|character customization|co-op|collectathon|colorful|creature collector|cute|exploration|fantasy|full controller support|jrpg|multiplayer|open world|pixel graphics|remote play together|rpg|shared/split screen co-op|singleplayer|split screen|steam achievements|steam cloud|story rich|turn-based|turn-based combat|turn-based tactics,adventure|atmospheric|challenging|character creation|colorful|crafting|cute|deliberately retro|emotional|exploration|fantasy|friendship|fusion|game pass|indie|monster collector|narrative|open world|pixel art|pixel graphics|replayability|resource management|rpg|sandbox|science fiction|story driven|strategy|transformation|turn-based combat
Yoshi,multiplayer|puzzles|singleplayer,dinosaurs|fantasy|game boy link cable support|puzzle|yoshi
Hogwarts_Legacy,achievement di steam|acquisti dallapplicazione|action rpg|action-adventure|atmospheric|battle|castle|character|character customization|character-creation|character-generator|choices matter|combat|dark|exploration|explore|family friendly|fantasy|friends|giocatore singolo|great soundtrack|journey|magic|online|open world|potions|rpg|school|secrets|singleplayer|steam cloud|story|story rich|student|supporto completo per i controller|third person|witch|wizards|дети,3d|achievements|action|adventure|alcohol|animated cutscenes|atmospheric|available on - luna plus|based on - book|based on - movie|bird|castle|cave|character customization|cloud saves|combat|controller support|dark|dragon|dualsense support for pc|dualshock 4 support for pc|exploration|family friendly|fantasy|flying|forest|full voice acting|giant insects|goblin|goblins|in-app purchases|insects|lock picking|magic|merlin|nature|open world|rpg|spell caster|spellcaster|spells|spider|spiders|steam achievements|steam cloud|steam families|story rich|teenager|trolls|voice acting|wand|witches|wizards|woodland|xbox controller support for pc|young protagonist
HoloParade,2d|anime|cute|deckbuilding|hand-drawn|real time tactics|side scroller|singleplayer|steam cloud|tactical|tower defense,2d|action|indie|side-scrolling|strategy|tower defense
Vintage_Story,3d|exploration|pixel graphics|procedural generation|sandbox|survival|voxel,bees|character customization|community driven|eldritch horror|horror|indie|modding support|open world|sandbox|smithing|survival|voxel
Goat_Simulator,co-op|comedy|destruction|exploration|family friendly|full controller support|funny|includes level editor|local co-op|local multiplayer|memes|mmorpg|moddable|open world|physics|sandbox|singleplayer|split screen|steam achievements|steam cloud|steam leaderboards|steam workshop|steam-trading-cards|third person,3d|achievements|action|adventure|animal protagonists|animals|arcade|box art - real photos|casual|cloud saves|comedy|controller support|conveyor belt|dancing|dark humor|demon|demons|destruction|digital distribution|dolphin|downloadable content|easter egg|exploration|explosion|funny|games with gold|gamescom 2014|goat|google play game services|gravity|human|indie|level editor|memes|non-humanoid protagonist|non-player character|open world|over the shoulder|parody|pax east 2014|physics|playstation trophies|polygonal 3d|pop culture reference|profanity|ragdoll physics|remote play|sandbox|satanism|simulator|slow-motion|steam|steam achievements|steam cloud|steam deck|steam families|steam leaderboards|steam trading cards|steam workshop|vending machine interaction|voice acting|xbox controller support for pc|xbox one backwards compatibility
Earth_Defense_Force,co-op|singleplayer,action|broadcast|digital distribution|nintendo switch online|satellaview view-limited games|science fiction|shooter|space|wii u virtual console|wii virtual console
Dark_and_Darker,battle royale|class-based|co-op|dark|dungeon crawler|early access|exploration|fantasy|first-person|in-app purchases|loot|magic|medieval|multiplayer|online co-op|online pvp|party-based rpg|pve|pvp|rpg|survival|swordplay|team-based,action|adventure|dungeon crawler|dungeon crawling|extraction|loot gathering|magic|pvp|pvpve|rpg|shooter|stealth|tactical|team-based
Shadows_of_Doubt,action rpg|cyberpunk|detective|first-person|gore|noir|open world|rpg|sexual content|singleplayer|split screen|stealth|steam achievements|steam cloud|voxel,3d|achievements|action|adventure|alcohol|bloody|character customization|coffee|controller support|crouching|cyberpunk|detective|donuts|drugs|dualsense support for pc|dualshock 4 support for pc|food|gore|gun|hacking|immersive sim|indie|lgbtq|low-poly|money|murder|murder mystery|mystery|neo noir|open world|pixel graphics|police|private detective|procedural generation|procedurally generated|remote play|rpg|sandbox|science fiction|scientist|simulated operating system|simulator|snow|stalker|stealth|steam achievements|steam cloud|steam families|tobacco|vent crawling|violence|voxel|xbox controller support for pc
Girls_Made_Pudding,2d|3d|anime|choose your own adventure|controller|cooking|crafting|cute|exploration|family sharing|female protagonist|full controller support|interactive fiction|motorbike|sci-fi|singleplayer|steam achievements|steam cloud|visual novel|walking simulator|кулинария|протагонистка,adventure|music|rpg
Dino_Crisis,dinosaurs|exclusive|singleplayer|survival,action|action-adventure|adventure|backwards compatibility|block puzzle|bloody|branching storyline|button mashing|crane puzzle|death|diary pages|digital distribution|dinosaurs|extreme violence|false death|female protagonist|horror|lock picking|male antagonist|moral decisions|multiple endings|playstation network|playstation tv support|playstation underground|plot twist|prehistoric|psone classics|puzzle|save point|science fiction|shooter|survival|survival horror|tank controls|time travel|tyrannosaurus rex
Gran_Turismo,exclusive|multiplayer|singleplayer|true exclusive,cars|horse racing|non-fiction|racing|racing sim|simulator|sports cars
Haunted_Property,1980s|1990s|3d|atmospheric|dark|family sharing|first-person|horror|immersive sim|interactive fiction|linear|multiple endings|mystery|psychological|realistic|singleplayer|steam achievements|steam cloud|story rich|supernatural|walking simulator,horror|indie
Part_Time_UFO,achievements|build|dogs|farm|fly|friends|fun|shapes|ufo|work,action|adventure|arcade|kids|licensed game|nintendo switch eshop|puzzle|stacking
Slither.io,run|tiny,arcade
Bokura,animals|book|character|choice|choices|communication|journey|lab|planet|puzzles|story|work,action|adventure|cute|drama|indie|pixel graphics|platform|puzzle
Hi-Fi_Rush,action-adventure|anime|captions available|cartoony|character action game|colorful|cyberpunk|full controller support|funny|great soundtrack|hack and slash|music|rhythm|rhytm-based|singleplayer|spectacle fighter|steam achievements|steam cloud,action|adventure|hack and slash|music|music and rhythm|platform
Ghostrunner,cyberpunk|first-person|gore|parkour|partial controller support|singleplayer|steam achievements|violent,action|adventure|cyberpunk|fast paced|first-person platforming|gamescom 2019|parkour|pax east 2020|pax south 2020|platform|post-apocalyptic|science fiction|shooter
Okaeri,anime|atmospheric|based on a novel|exploration|female protagonist|gore|horror|mystery|narration|psychological|singleplayer|story rich|surreal|thriller|walking simulator,action|adventure|girls|horror|indie|psychological horror|puzzle|simulator
Elden_Ring,3d|action rpg|atmospheric|co-op|dark fantasy|difficult|epic|fantasy|full controller support|great soundtrack|history|multiplayer|online co-op|online pvp|open world|pvp|rpg|singleplayer|souls-like|steam achievements|steam trading cards|third person|violent,3d|achievements|action|adventure|apocalypse|archery|auto-saving|axe|boss fight|bosses|bow and arrow|branching storyline|brutal|checkpoints|controller support|customizable characters|death|difficult|dragon|dragons|dual wield|dual wielding|dynamic weather|epic adventure|explorable world|exploration|fantasy|fast traveling|fictional world|hidden room|horse|horse riding|insanity|interconnected-world|knights|lore rich|magic|medieval|melee|mercenary|minotaurs|monsters|moral decisions|multiple enemy boss fights|new game plus|non-linear storytelling|non-player character|old-fashioned english|online|open world|optional boss|parrying|player vs player|polygonal 3d|pyromancer|ragdoll physics|rpg|saving the world|scythe|secret achievements|shield|side quests|soul steal|souls as currency|soulslike|spear|status effects|stealth kill|steam achievements|steam cloud|steam families|steam trading cards|sword|sword sorcery|the game awards - best art direction - winner|the game awards - best audio design - nominee|the game awards - best game direction - winner|the game awards - best narrative - nominee|the game awards - best roleplaying game - winner|the game awards - best score or music - nominee|the game awards - game of the year - nominee|the game awards - game of the year - winner|the game awards - most anticipated game - winner|the game awards 2022|traps|undead|upgradeable weapons|violence|wasd movement|xbox controller support for pc
DigDigDrill,2d|action-adventure|character customization|collectathon|crafting|destruction|exploration|family sharing|hack and slash|loot|mining|pixel graphics|relaxing|resource management|retro|singleplayer|steam achievements|steam cloud|tutorial|underground,adventure|indie
"Dude,_Stop",2d|captions available|colorful|comedy|dynamic narration|free to play|funny|horror|narration|pixel graphics|point and click|satire|singleplayer|steam achievements|steam cloud,adventure|indie|physics|point-and-click|puzzle
Hades,2d|action rpg|action-adventure|atmospheric|dungeon crawler|dungeons|early access|fantasy|full controller support|great soundtrack|hack and slash|hand-drawn|isometric|perma death|replay value|roguelike|roguelite|rpg|singleplayer|story rich,action|adventure|difficult|drama|dungeon crawler|fantasy|greek mythology|hack and slash|indie|mythology|netflix|roguelike|roguelite|rpg|story rich|stylized|supernatural|the game awards - best action game - winner|the game awards - best art direction - nominee|the game awards - best game direction - nominee|the game awards - best independent game - winner|the game awards - best narrative - nominee|the game awards - best performance - nominee|the game awards - best score or music - nominee|the game awards - game of the year - nominee|weapons|you can pet the dog
Mini_Motorways,full controller support|singleplayer,available on - apple arcade|indie|puzzle|simulator|strategy|traffic
Tokyo_Xtreme_Racer,exclusive|multiplayer|singleplayer|true exclusive,60 fps on consoles|boss fight|burnout|drifting|launch titles|racing|sports cars|street racing|upgradeable vehicles
Content_Warning,3d|action-adventure|atmospheric|co-op|dungeon crawler|exploration|family sharing|first-person|horror|investigation|multiplayer|mystery|online co-op|perma death|procedural generation|sci-fi|supernatural|survival horror|time management,action|adventure|camera|comedy|horror|indie|online coop|roguelike horror|shaky camera
Zuma,ancient|balls|challenge|history|jungle|online|traps,abstract|achievements|action|arcade|block matching|digital distribution|digital rights management|explosion|frog|harder versions of earlier levels|kids|leaderboard|level selection|marble popper|match 3|non-humanoid protagonist|playstation trophies|puzzle|remote play|steam|steam play|survival mode|xbox one backwards compatibility
Big_Brain_Academy,edutainment|mental training,action|brain training|educational|gesture-based controls|management|math|minigame collection|minigames|never-ending|puzzle|virtual console
ANIMAL_WELL,2d|atmospheric|controller|cute|exploration|full controller support|horror|metroidvania|mystery|nonlinear|pixel graphics|puzzle platformer|relaxing|retro|singleplayer|steam achievements|steam cloud|surreal,2d|action|adventure|atmospheric|controller support|cute|dark|exploration|horror|indie|metroidvania|mystery|pixel art|pixel graphics|platform|puzzle|relaxing|retro|surreal|survival
F-ZERO,cars|console|nes|race|racer|speed,16-bit|action|adapted to - anime|anti-gravity racing|difficulty level|digital distribution|future sport|greatest hits|launch titles|motorsports|nintendo 3ds virtual console|nintendo gateway system|nintendo power|nintendo super system|nintendo switch online|player's choice|racing|retroachievements|satellaview demo/trial release|satellaview view-limited games|science fiction|sideways wii remote gameplay|superhero|technical feature - snes mode 7|time trials|vehicle combat|vehicular combat|virtual console|wii u virtual console|wii virtual console
Exhausted_Man,colorful|comedy|cute|dark comedy|family friendly|family sharing|full controller support|funny|isometric|life sim|modern|parody|physics|sandbox|satire|singleplayer|steam achievements|steam cloud|third person,3d|action|comedy|cute|indie|level editor|life simulation|physics|simulator
WOWOWOW_KORONE_BOX,2d|anime|bullet hell|cute|free to play|full controller support|pixel graphics|pve|score attack|shoot em up|singleplayer|steam achievements|steam cloud|steam leaderboards|top-down|top-down shooter|twin stick shooter,action|anime|arcade|bullet hell|hololive|indie|shooter|virtual youtuber
Brotato,2d|action roguelike|aliens|arena shooter|bullet hell|cartoony|combat|controller|early access|full controller support|funny|hand-drawn|perma death|post-apocalyptic|procedural generation|roguelite|rpg|singleplayer|steam achievements|steam cloud|top-down|top-down shooter|арена-шутер|постапокалипсис,action|arcade|arena shooter|fighting|indie|roguelite|rpg|science fiction|shooter
Timelie,cats|female protagonist|singleplayer|steam achievements|time manipulation,adventure|cats|cute|female protagonist|indie|puzzle|stealth|strategy|time manipulation
Viewfinder,3d platformer|abstract|action-adventure|atmospheric|colorful|dark humor|exploration|first-person|full controller support|narration|physics|psychological|puzzle platformer|retro|singleplayer|steam achievements|story rich|stylized|surreal,abstract|adventure|environmental puzzles|experimental|indie|narration|physics|platform|puzzle|science fiction
Banjo-Kazooie,bird|fun|singleplayer,action|adventure|animal antagonist|bird|collectibles|fantasy|platform|quiz/trivia|xbox live arcade
Iron_Lung,3d|abstract|atmospheric|dark|dystopian|experimental|exploration|first-person|horror|minimalist|mystery|pixel graphics|sci-fi|short|singleplayer|steam cloud|submarine|surreal|underwater|walking simulator,adventure|atmospheric|horror|indie|puzzle|science fiction|simulator|submarine|underwater
Tower_Unite,character customization|co-op|early access|fps|funny|great soundtrack|memes|mini golf|mmo|multiplayer|open world|partial controller support|rpg|sandbox|singleplayer|steam cloud|third person|valve anti-cheat enabled|zombies,action|adventure|arcade|card & board game|indie|mini golf|minigame collection|minigames|party|racing|sandbox|shooter|simulator
Cryptmaster,3d|action rpg|action-adventure|battle|characters|combat|creature|dungeon|dungeon crawler|enemies|family sharing|fantasy|first-person|fishing|full controller support|funny|horror|lore-rich|party-based rpg|psychedelic|rpg|singleplayer|steam achievements|story rich|stylized|surreal|third person|travel|typing|weird|word|word game|words,adventure|dungeon crawler|fantasy|fishing|indie|puzzle|rpg|story rich|typing
Feeding_Frenzy,fun|water,achievements|action|aquatic|arcade|character growth|digital distribution|digital rights management|eat or be eaten|hunting|kids|leaderboard|multiple protagonists|non-humanoid protagonist|puzzle|shark|single-screen level|underwater gameplay|xbox one backwards compatibility
Days_With_Ollie,2d|choices matter|choose your own adventure|cute|drama|family sharing|horror|singleplayer|story rich|text-based|visual novel,adventure|comedy|visual novel|zombie protagonist
Another_Eden,2.5d|anime|art|cats|cute|epic|fantasy|free to play|future|in-app purchases|jrpg|memory|multiplayer|music|party-based rpg|retro|rpg|sci-fi|singleplayer|soundtrack|space|steam achievements|story|story rich|time travel|turn-based|turn-based combat|turn-based tactics|well-written|котики,adventure|fantasy|free to play|rpg|science fiction|turn-based combat
Buddy_Simulator_1984,1984|2d|buddy|buddy-sim|buddy-simulator-1984|horror|pixel graphics|retro|rpg|simulator|singleplayer|steam achievements|story rich|text-based,1980s|2d|achievements|adventure|arcade|atmospheric|exploration|ghost|horror|indie|interactive fiction|keyboard and mouse support for consoles|keyboard game|pixel art|pixel graphics|psychological horror|retro|rpg|simulated operating system|simulator|steam achievements|steam families|steam trading cards|story rich|text adventure|text-based|thriller|typing
Monster_Rancher,exclusive|multiplayer|singleplayer|true exclusive|two players versus,adapted to - anime|adapted to - tv show|anime|anthropomorphism|breeding|death|fantasy|ghosts|music-generated content|playstation underground|polygonal 3d|rpg|simulator|strategy
Run_Pizza_Run,3d|3d platformer|6dof|action-adventure|colorful|comedy|crpg|emotional|family sharing|nonlinear|open world|physics|pve|runner|singleplayer|survival|third person|transportation,3d|action|adventure|indie|simulator
Platform_8,3d|atmospheric|cinematic|dark|exploration|family sharing|first-person|full controller support|funny|hidden object|horror|immersive sim|modern|mystery|realistic|singleplayer|stealth|surreal|walking simulator,3d|adventure|anomaly|atmospheric|camera|cinematic|dark|exploration|funny|hidden object|horror|human|immersive|indie|japan|modern|mystery|phantom|platform|psychological horror|puzzle|realistic|simulator|stealth camouflage|subway|surreal|trains|traps|underground|walking simulator
Mouthwashing,atmospheric|dark|dark humor|exploration|family sharing|first-person|full controller support|gore|horror|mystery|narrative|psychological|retro|singleplayer|space|steam achievements|story rich|surreal|thriller|walking simulator,adventure|horror|indie|psychological horror|retro|steam achievements|steam families|steam trading cards|story rich|surreal
Neon_White,3d|3d platformer|anime|dating sim|first-person|fps|full controller support|great soundtrack|mystery|narrative|parkour|precision platformer|singleplayer|steam achievements|steam cloud|steam leaderboards|story rich|stylized|visual novel,action|arcade|fantasy|first-person platforming|indie|parkour|platform|shooter|visual novel
My_Hero_Ultra_Rumble,3d|3d fighter|3d-файтинг|anime|battle royale|co-op|combat|esports|free to play|in-app purchases|multiplayer|online co-op|online pvp|partial controller support|pvp|sexual content|singleplayer|steam achievements|stylized|superhero|team-based|third person|third person shooter,action|based on - anime|based on - manga|fighting|survival
Manor_Lords,base building|building|city builder|colony sim|early access|economy|family sharing|farming sim|historical|management|medieval|moddable|open world|realistic|replay value|resource management|rts|sandbox|singleplayer|steam achievements|steam cloud|survival,available on - pc gamepass|city builder|fantasy|historical|management|real time strategy|simulator|strategy
Sentimental_Death_Loop,2d|2d platformer|2d-платформер|action-adventure|anime|choose your own adventure|cute|dark|female protagonist|gore|horror|multiple endings|mystery|pixel graphics|singleplayer|stealth|steam achievements|survival horror|top-down|violent|visual novel|протагонистка,adventure|erotic|horror|indie|nudity|pixel graphics|sexual content|survival horror
Fight_Crab,3d|co-op|competitive|crab|full controller support|funny|great soundtrack|intentionally awkward controls|local multiplayer|multiplayer|online co-op|online pvp|physics|pvp|remote play together|shared/split screen co-op|shared/split screen pvp|singleplayer|split screen|steam achievements|steam cloud|steam leaderboards|surreal|violent,action|comedy|crab|fighting|indie|simulator|sport
Thought_Experiment_Simulator,2d|abstract|comedy|dark humor|dynamic narration|family sharing|hand-drawn|memes|noir|parody|philosophical|point and click|procedural generation|short|singleplayer|steam achievements|steam cloud|trains,educational|indie|puzzle|simulator
Fast_Food_Simulator,3d|artificial intelligence|character customization|co-op|cooking|early access|family friendly|family sharing|first-person|free to play|hidden object|horror|hunting|immersive sim|management|multiplayer|online co-op|partial controller support|realistic|robots|singleplayer|steam achievements|steam cloud|stylized|time manipulation|кулинария,indie|simulator
Alisa,1990s|3d|action-adventure|alternate history|atmospheric|female protagonist|funny|gothic|horror|military|mystery|old school|partial controller support|pixel graphics|pve|retro|singleplayer|survival horror|протагонистка,3d|action|adventure|backtracking|female protagonist|fixed camera|horror|indie|mansion|melee|multiple endings|old school|pre-rendered backgrounds|retro|survival|survival horror|tank controls
Chicken_Feet,3d|atmospheric|dark|gore|horror|linear|singleplayer|stealth|story rich|survival horror|thriller|violent,action|adventure|horror|indie|psychological horror
Urayama,3d|atmospheric|family sharing|first-person|horror|immersive sim|linear|multiple endings|singleplayer|steam achievements|walking simulator,horror|indie|psychological horror|simulator|walking simulator
